Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds,DriverID,TeamID,TyreCode,StintNorm,LapTrend,TimeSeconds,PaceDeviation,DeltaToBest,RollingAvgDriver
0 days 01:07:58.401000,SAI,55,0 days 00:01:20.532000,16.0,6.0,,,0 days 00:00:26.720000,0 days 00:00:27.135000,0 days 00:00:26.677000,0 days 01:07:04.589000,0 days 01:07:31.724000,0 days 01:07:58.401000,323.0,338.0,314.0,347.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:37.869000,2023-09-02 14:51:37.980,1,,False,,False,True,80.532,0,0,2,0.8333333333333334,0.6956521739130435,4078.401,0.23799999999999955,0.23799999999999955,87.419
0 days 01:09:47.763000,SAI,55,0 days 00:01:49.362000,17.0,6.0,,0 days 01:09:43.860000,0 days 00:00:34.701000,0 days 00:00:35.441000,0 days 00:00:39.220000,0 days 01:08:33.102000,0 days 01:09:08.543000,0 days 01:09:47.763000,236.0,260.0,,229.0,False,SOFT,3.0,True,Ferrari,0 days 01:07:58.401000,2023-09-02 14:52:58.512,1,,False,,False,False,109.362,0,0,2,0.8333333333333334,0.7391304347826086,4187.763,29.067999999999998,29.067999999999998,94.947
0 days 01:15:31,SAI,55,0 days 00:01:20.294000,19.0,7.0,,,0 days 00:00:26.701000,0 days 00:00:26.988000,0 days 00:00:26.605000,0 days 01:14:37.407000,0 days 01:15:04.395000,0 days 01:15:31,323.0,338.0,308.0,347.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:10.706000,2023-09-02 14:59:10.817,1,,False,,False,True,80.294,0,0,2,1.0,0.8260869565217391,4531.0,0.0,0.0,94.828
0 days 01:17:30.056000,SAI,55,0 days 00:01:59.056000,20.0,7.0,,0 days 01:17:22.089000,0 days 00:00:36.664000,0 days 00:00:37.154000,0 days 00:00:45.238000,0 days 01:16:07.664000,0 days 01:16:44.818000,0 days 01:17:30.056000,213.0,223.0,,230.0,False,SOFT,3.0,True,Ferrari,0 days 01:15:31,2023-09-02 15:00:31.111,1,,False,,False,False,119.056,0,0,2,1.0,0.8695652173913043,4650.056,38.762,38.762,99.675
0 days 00:19:25.889000,VER,1,0 days 00:01:22.047000,2.0,1.0,,,0 days 00:00:27.167000,0 days 00:00:27.831000,0 days 00:00:27.049000,0 days 00:18:31.009000,0 days 00:18:58.840000,0 days 00:19:25.889000,321.0,335.0,312.0,339.0,False,HARD,2.0,True,Red Bull Racing,0 days 00:18:03.842000,2023-09-02 14:03:03.953,1,,True,TRACK LIMITS AT TURN 7 LAP 3 ,False,True,82.047,1,1,0,0.0,0.08695652173913043,1165.889,1.7399999999999949,1.7530000000000001,82.047
0 days 00:21:21.478000,VER,1,0 days 00:01:55.589000,3.0,1.0,,0 days 00:21:17.392000,0 days 00:00:39.475000,0 days 00:00:38.131000,0 days 00:00:37.983000,0 days 00:20:05.364000,0 days 00:20:43.495000,0 days 00:21:21.478000,209.0,280.0,,189.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:19:25.889000,2023-09-02 14:04:26.000,1,,False,,False,False,115.589,1,1,0,0.0,0.13043478260869565,1281.478,35.282,35.295,98.818
0 days 00:23:32.525000,VER,1,0 days 00:02:11.047000,4.0,2.0,0 days 00:21:45.439000,,0 days 00:00:57.956000,0 days 00:00:41.796000,0 days 00:00:31.295000,0 days 00:22:19.434000,0 days 00:23:01.230000,0 days 00:23:32.525000,233.0,200.0,315.0,212.0,False,HARD,4.0,False,Red Bull Racing,0 days 00:21:21.478000,2023-09-02 14:06:21.589,1,,False,,False,False,131.047,1,1,0,0.16666666666666666,0.17391304347826086,1412.525,50.739999999999995,50.753,123.318
0 days 00:24:54.098000,VER,1,0 days 00:01:21.573000,5.0,2.0,,,0 days 00:00:27.048000,0 days 00:00:27.614000,0 days 00:00:26.911000,0 days 00:23:59.573000,0 days 00:24:27.187000,0 days 00:24:54.098000,321.0,336.0,313.0,342.0,True,HARD,5.0,False,Red Bull Racing,0 days 00:23:32.525000,2023-09-02 14:08:32.636,1,,False,,False,True,81.573,1,1,0,0.16666666666666666,0.21739130434782608,1494.098,1.2659999999999911,1.2789999999999964,106.31
0 days 00:26:48.896000,VER,1,0 days 00:01:54.798000,6.0,2.0,,0 days 00:26:45.014000,0 days 00:00:39.999000,0 days 00:00:36.787000,0 days 00:00:38.012000,0 days 00:25:34.097000,0 days 00:26:10.884000,0 days 00:26:48.896000,256.0,263.0,,227.0,False,HARD,6.0,False,Red Bull Racing,0 days 00:24:54.098000,2023-09-02 14:09:54.209,1,,False,,False,False,114.798,1,1,0,0.16666666666666666,0.2608695652173913,1608.896,34.491,34.504000000000005,98.18549999999999
0 days 00:29:13.261000,VER,1,0 days 00:02:24.365000,7.0,3.0,0 days 00:27:21.263000,,0 days 00:01:08.503000,0 days 00:00:39.373000,0 days 00:00:36.489000,0 days 00:27:57.399000,0 days 00:28:36.772000,0 days 00:29:13.261000,247.0,261.0,312.0,190.0,False,HARD,7.0,False,Red Bull Racing,0 days 00:26:48.896000,2023-09-02 14:11:49.007,1,,False,,False,False,144.365,1,1,0,0.3333333333333333,0.30434782608695654,1753.261,64.058,64.07100000000001,129.5815
